iter	Passed	Remaining
0	3	642
1	7	710
2	10	717
3	14	704
4	17	684
5	21	692
6	25	701
7	28	685
8	31	672
9	35	665
10	39	670
11	43	673
12	46	664
13	49	655
14	54	667
15	57	665
16	61	657
17	64	655
18	68	652
19	73	663
20	76	654
21	79	646
22	83	638
23	86	632
24	90	635
25	93	628
26	97	621
27	100	615
28	105	620
29	108	615
30	112	611
31	116	609
32	119	605
33	123	602
34	126	597
35	129	590
36	132	585
37	137	584
38	141	583
39	144	577
40	148	575
41	151	570
42	156	569
43	159	564
44	162	559
45	165	553
46	169	550
47	172	545
48	175	539
49	178	536
50	182	532
51	186	530
52	189	526
53	193	522
54	196	517
55	199	512
56	203	510
57	207	507
58	210	502
59	213	497
60	218	498
61	222	495
62	226	491
63	229	488
64	233	484
65	237	481
66	240	477
67	243	472
68	246	468
69	250	464
70	253	460
71	256	455
72	259	451
73	263	447
74	267	446
75	271	442
76	274	438
77	277	434
78	280	430
79	284	427
80	288	423
81	291	419
82	295	415
83	299	413
84	302	409
85	306	405
86	310	402
87	313	398
88	317	396
89	321	392
90	324	388
91	327	384
92	332	382
93	336	379
94	339	375
95	343	371
96	346	367
97	350	364
98	353	360
99	356	356
100	360	353
101	364	350
102	368	346
103	371	343
104	375	340
105	379	336
106	383	333
107	386	329
108	389	325
109	392	321
110	396	317
111	401	315
112	404	311
113	408	308
114	411	304
115	416	301
116	419	297
117	422	293
118	426	290
119	430	286
120	433	283
121	437	279
122	440	275
123	443	272
124	447	268
125	450	264
126	453	260
127	457	257
128	461	254
129	465	250
130	468	246
131	471	242
132	474	239
133	478	235
134	482	232
135	485	228
136	488	224
137	491	220
138	502	220
139	507	217
140	511	213
141	514	210
142	518	206
143	521	202
144	524	198
145	528	195
146	532	192
147	538	189
148	541	185
149	545	181
150	548	178
151	551	174
152	555	170
153	559	167
154	562	163
155	566	159
156	569	156
157	572	152
158	576	148
159	580	145
160	583	141
161	586	137
162	589	133
163	593	130
164	597	126
165	600	122
166	603	119
167	606	115
168	610	112
169	614	108
170	618	104
171	621	101
172	625	97
173	629	93
174	632	90
175	635	86
176	639	83
177	642	79
178	645	75
179	648	72
180	652	68
181	657	65
182	660	61
183	664	57
184	667	54
185	670	50
186	675	46
187	679	43
188	682	39
189	685	36
190	692	32
191	696	29
192	700	25
193	703	21
194	707	18
195	710	14
196	714	10
197	717	7
198	720	3
199	726	0
